Year,Week_Number,mean_return,volatility
2005,26,-0.16540000000000002,0.5000092999135116
2005,27,-0.026749999999999996,0.5359685158663707
2005,28,0.046600000000000016,0.6720139879496557
2005,29,-0.099,0.6293524449781696
2005,30,0.2808,0.7568016252625255
2005,31,0.4506,0.6846077709170412
2005,32,0.5668,0.41773520320892277
2005,33,-0.36819999999999997,0.7063927377882646
2005,34,-0.23479999999999998,0.6561102803645131
2005,35,0.8230000000000001,0.8350062874014782
2005,36,0.235,0.72277843539128
2005,37,-0.1008,0.763608014625305
2005,38,-0.4164,0.5337816032798433
2005,39,0.04379999999999999,0.5840523949099088
2005,40,-0.4462,0.4124732718613413
2005,41,-0.17040000000000002,0.8356119314610102
2005,42,-0.5892,1.1552249564478774
2005,43,0.5025999999999999,0.8575816579195242
2005,44,0.5018,0.975262118612222
2005,45,0.054000000000000006,0.35002285639655023
2005,46,-0.18939999999999996,0.8582582944545308
2005,47,0.09475,0.46915624618386287
2005,48,0.3014,0.9292934412767584
2005,49,0.21200000000000002,0.6738089491836688
2005,50,0.17939999999999995,0.8414103041917185
2005,51,-0.04160000000000001,0.371952685163046
2005,52,-0.18575,0.647725443378597
2006,01,1.3407499999999999,1.5227049123188643
2006,02,-0.02799999999999998,0.7933946054769971
2006,03,-0.513,0.7632299784468637
2006,04,0.64,0.5081820539924644
2006,05,-0.2822,0.7718271827293983
2006,06,0.012799999999999988,0.7953764517509931
2006,07,0.09299999999999997,0.495728252170481
2006,08,0.1275,0.3180151987982126
2006,09,0.10300000000000002,0.6570079908189853
2006,10,-0.03860000000000004,0.6401076471969382
2006,11,0.6408,0.5516119106763377
2006,12,0.054000000000000006,1.1058417608319917
2006,13,-0.28019999999999995,1.1517919516996113
2006,14,0.24020000000000002,0.8835364734972745
2006,15,0.12325,0.5650831059823561
2006,16,0.6692,1.101406918445676
2006,17,0.2448,0.409347896049314
2006,18,0.6050000000000001,1.2307800372121738
2006,19,-0.3612,0.9060762661056739
2006,20,-0.827,1.3120293441840392
2006,21,0.1698,1.321930671404518
2006,22,0.31425000000000003,1.2277183105256677
2006,23,-1.1834,0.7726970945978766
2006,24,0.19680000000000003,2.6461053833889534
2006,25,-0.017399999999999992,0.8102291651131796
2006,26,0.8795999999999999,1.7263333397695824
2006,27,-0.046000000000000006,0.6605013247526458
2006,28,-0.5632,1.1022507427985704
2006,29,0.1452,1.4668396981265541
2006,30,0.9649999999999999,0.581257258019201
2006,31,0.13319999999999999,0.9520053571277842
2006,32,-0.23939999999999997,0.5176468873662817
2006,33,0.37220000000000003,0.7150903439426377
2006,34,-0.06340000000000001,0.4452339834289382
2006,35,0.3926,0.44653644868028414
2006,36,-0.7484999999999999,0.8716017821612497
2006,37,0.13580000000000003,1.2277264353266977
2006,38,0.02139999999999994,0.8930337619597593
2006,39,0.166,0.3552393559278026
2006,40,0.1472,0.5651390979219186
2006,41,0.36960000000000004,0.3067675015382171
2006,42,0.293,0.46153277240083396
2006,43,0.03699999999999999,0.6674597366133781
2006,44,0.123,0.34194078434723163
2006,45,0.31260000000000004,0.5716303875757481
2006,46,-0.1628,0.4294923747867941
2006,47,0.09725,0.25748058179210326
2006,48,0.25139999999999996,0.8469405528134781
2006,49,0.3472,0.4465732862588178
2006,50,0.1264,0.59960386923368
2006,51,-0.1306,0.6998026864766954
2006,52,0.3145,0.7845892768406495
2007,00,-0.5096666666666666,1.2826715609747235
2007,01,0.36439999999999995,0.8265230184332436
2007,02,0.22425000000000003,0.5989760011886954
2007,03,-0.166,0.9479551677162797
